TransactionID,TransactionDate,Amount,MerchantID,TransactionType,Location,IsFraud
1,2024-04-03 14:15:35.462794,345614.78,688,purchase,MUMBAI,0
2,2024-03-19 13:20:35.462824,219426.08,109,purchase,DELHI,0
3,2024-01-08 10:08:35.462834,64680.0,394,refund,BENGALURU,0
4,2024-04-13 23:50:35.462850,289938.0,944,purchase,HYDERABAD,0
5,2024-07-12 18:51:35.462858,30448.28,475,refund,KOLKATA,0
6,2024-08-30 01:52:35.462867,254613.15,302,purchase,BENGALURU,0
7,2024-01-02 11:31:35.462875,121019.25,902,purchase,HYDERABAD,0
8,2024-05-12 12:25:35.462885,75669.82,266,refund,BENGALURU,0
9,2023-11-16 02:20:35.462894,134122.72,32,purchase,PUNE,0
10,2023-10-24 06:51:35.462901,54620.78,193,refund,DELHI,0
11,2024-08-10 17:08:35.462908,321415.05,349,purchase,MUMBAI,1
12,2024-08-27 16:03:35.462915,77957.55,359,refund,JAIPUR,0
13,2024-08-31 02:38:35.462922,235594.42,219,purchase,BENGALURU,0
14,2023-11-12 13:30:35.462928,355890.15,617,purchase,JAIPUR,0
15,2024-07-13 09:02:35.462935,379422.45,529,transfer,HYDERABAD,1
16,2024-03-23 06:20:35.462942,125734.12,462,purchase,SURAT,0
17,2024-01-04 22:23:35.462948,224560.87,912,purchase,BENGALURU,0
18,2023-11-05 23:33:35.462955,112015.2,522,purchase,BENGALURU,0
19,2024-02-29 06:41:35.462962,389895.82,456,transfer,DELHI,1
20,2024-01-16 01:48:35.462969,149733.38,134,purchase,AHMEDABAD,0
21,2024-01-19 11:10:35.462976,22258.5,51,refund,JAIPUR,0
22,2024-05-18 17:16:35.462983,42248.25,196,refund,HYDERABAD,0
23,2024-04-13 22:57:35.462989,241942.8,813,purchase,PUNE,0
24,2024-03-22 18:11:35.462995,97111.58,878,refund,HYDERABAD,0
25,2024-07-15 09:41:35.463002,302093.55,521,purchase,DELHI,0
26,2024-10-10 00:28:35.463008,302358.38,348,purchase,MUMBAI,0
27,2024-09-22 11:17:35.463015,345379.65,725,purchase,BENGALURU,1
28,2024-08-18 22:07:35.463021,127237.28,44,purchase,AHMEDABAD,0
29,2024-06-23 23:24:35.463041,359761.05,605,cash_out,PUNE,0
30,2024-06-12 01:15:35.463048,71166.15,347,refund,SURAT,0
31,2024-07-24 17:19:35.463054,87675.22,595,refund,PUNE,0
32,2024-07-04 01:22:35.463059,343416.98,163,cash_out,JAIPUR,0
33,2024-07-22 16:26:35.463064,283762.05,781,purchase,MUMBAI,0
34,2024-06-08 20:00:35.463071,326181.9,510,purchase,KOLKATA,0
35,2024-05-17 08:14:35.463077,42581.55,469,refund,SURAT,0
36,2024-07-28 09:38:35.463082,88221.37,322,refund,KOLKATA,0
37,2024-04-09 19:33:35.463088,161007.82,991,purchase,HYDERABAD,0
38,2024-05-27 02:09:35.463094,172008.37,369,purchase,JAIPUR,0
39,2024-08-09 09:02:35.463100,264333.3,663,purchase,AHMEDABAD,0
40,2023-12-09 18:12:35.463118,4825.42,284,refund,HYDERABAD,0
41,2024-02-19 21:10:35.463122,286515.08,788,purchase,SURAT,0
42,2024-08-07 00:51:35.463125,122763.3,207,purchase,CHENNAI,0
43,2024-03-13 02:20:35.463131,63867.38,661,refund,DELHI,0
44,2024-03-26 23:08:35.463136,193608.52,31,purchase,AHMEDABAD,0
45,2024-06-14 14:43:35.463142,50887.65,4,refund,CHENNAI,0
46,2024-07-21 19:23:35.463147,169356.0,980,purchase,AHMEDABAD,0
47,2024-05-22 16:45:35.463153,398729.1,251,transfer,PUNE,0
48,2024-09-25 13:03:35.463158,383799.9,334,transfer,SURAT,0
49,2024-09-07 13:05:35.463164,205140.38,978,purchase,KOLKATA,0
50,2024-05-02 10:03:35.463171,327402.08,639,purchase,HYDERABAD,0
51,2023-11-02 06:58:35.463175,2418.9,620,refund,PUNE,0
52,2024-01-17 02:02:35.463179,67435.5,57,refund,PUNE,0
53,2024-10-15 23:29:35.463182,148589.1,456,purchase,JAIPUR,0
54,2023-12-12 05:00:35.463186,61105.27,970,refund,MUMBAI,0
55,2024-10-03 12:01:35.463189,222795.38,430,purchase,BENGALURU,0
56,2024-02-28 19:04:35.463192,72205.65,437,refund,AHMEDABAD,0
57,2023-11-27 15:19:35.463196,249301.8,685,purchase,SURAT,0
