TransactionID,TransactionDate,Amount,MerchantID,TransactionType,Location,IsFraud
89463,2024-01-25 11:23:35.983602,383247.15,828,transfer,CHENNAI,0
14429,2024-07-06 01:04:35.533927,299559.15,251,purchase,PUNE,0
96179,2024-10-07 14:31:36.011214,143223.3,465,purchase,KOLKATA,0
89837,2024-04-09 08:54:35.984926,169825.42,444,purchase,BENGALURU,0
27112,2024-09-02 19:37:35.597973,238080.15,978,purchase,CHENNAI,0
57803,2023-12-04 06:28:35.817393,245865.68,694,purchase,MUMBAI,0
23705,2024-06-28 04:19:35.582698,125468.48,119,purchase,DELHI,0
8570,2024-05-25 07:58:35.509604,204917.62,148,purchase,BENGALURU,0
73953,2024-08-30 16:01:35.909183,283302.52,137,purchase,PUNE,0
25644,2024-05-21 22:36:35.591128,207795.22,83,purchase,AHMEDABAD,0
7058,2024-08-01 09:43:35.503274,242427.9,413,purchase,KOLKATA,0
83847,2024-01-23 21:58:35.953302,245097.6,864,purchase,MUMBAI,0
1673,2024-04-22 10:47:35.471105,305526.38,407,purchase,JAIPUR,0
67831,2024-01-02 04:27:35.864850,345298.8,531,cash_out,CHENNAI,1
32258,2024-01-03 19:18:35.622749,68904.82,648,refund,DELHI,0
11199,2024-09-28 05:41:35.520707,321302.85,700,cash_out,JAIPUR,0
42045,2024-06-11 05:37:35.699600,235101.9,759,purchase,DELHI,0
63281,2024-02-22 21:46:35.843541,86875.8,619,refund,JAIPUR,0
57567,2024-10-13 14:40:35.815884,70004.55,63,refund,JAIPUR,0
25863,2024-04-20 16:38:35.592505,19148.25,727,refund,HYDERABAD,0
36201,2023-12-02 16:44:35.656385,80844.22,328,refund,JAIPUR,0
58204,2023-12-29 08:55:35.821400,354441.45,177,purchase,KOLKATA,0
24704,2024-05-05 05:54:35.586952,339379.42,527,cash_out,SURAT,0
70897,2024-04-01 07:38:35.892610,370768.2,369,purchase,DELHI,1
62453,2024-04-08 19:30:35.840054,9993.22,420,refund,BENGALURU,0
90774,2024-05-26 11:49:35.988298,276046.65,480,purchase,CHENNAI,0
93222,2024-04-14 16:43:35.998536,383758.65,423,transfer,AHMEDABAD,0
13991,2023-11-16 19:44:35.532177,279392.85,881,purchase,CHENNAI,0
45712,2024-03-24 03:36:35.722342,390946.88,902,transfer,CHENNAI,0
49952,2024-05-18 21:57:35.749799,330120.45,552,purchase,SURAT,0
84121,2023-11-19 11:53:35.954337,111080.48,666,purchase,MUMBAI,0
32494,2024-10-02 18:06:35.624071,257569.95,167,purchase,CHENNAI,0
32772,2024-06-11 22:24:35.625708,376939.2,570,transfer,AHMEDABAD,0
46057,2024-05-28 20:27:35.724636,92297.7,434,refund,KOLKATA,0
25524,2024-06-13 09:22:35.590545,124999.05,690,purchase,DELHI,0
54087,2024-07-30 09:30:35.792675,352034.1,373,purchase,KOLKATA,0
67222,2024-06-21 21:05:35.860780,159168.9,320,purchase,MUMBAI,0
1805,2024-07-14 22:17:35.471677,94232.32,492,refund,KOLKATA,0
38734,2024-02-10 09:03:35.672874,202695.08,750,purchase,JAIPUR,0
70246,2023-11-20 14:26:35.889104,71391.38,221,refund,CHENNAI,0
80766,2024-06-27 15:30:35.941824,143804.92,816,purchase,MUMBAI,0
58374,2024-04-23 19:38:35.822083,123026.48,17,purchase,BENGALURU,0
75879,2023-11-23 09:53:35.918640,355146.0,473,purchase,MUMBAI,1
97683,2024-04-18 03:33:36.017708,384743.7,601,transfer,CHENNAI,0
71861,2024-07-13 20:55:35.897931,374458.43,952,transfer,AHMEDABAD,0
39048,2024-05-14 00:37:35.683178,339514.72,406,cash_out,AHMEDABAD,0
53873,2024-08-23 05:40:35.791291,36402.3,278,refund,CHENNAI,0
16344,2024-06-15 11:53:35.542321,66905.03,70,refund,JAIPUR,0
86636,2024-07-09 12:48:35.963621,71162.85,742,refund,MUMBAI,0
