TransactionDate,DateKey,Year,Month,Day,DayOfWeek
2024-04-03 14:15:35.462794,20240403,2024,4,3,2
2024-03-19 13:20:35.462824,20240319,2024,3,19,1
2024-01-08 10:08:35.462834,20240108,2024,1,8,0
2024-04-13 23:50:35.462850,20240413,2024,4,13,5
2024-07-12 18:51:35.462858,20240712,2024,7,12,4
2024-08-30 01:52:35.462867,20240830,2024,8,30,4
2024-01-02 11:31:35.462875,20240102,2024,1,2,1
2024-05-12 12:25:35.462885,20240512,2024,5,12,6
2023-11-16 02:20:35.462894,20231116,2023,11,16,3
2023-10-24 06:51:35.462901,20231024,2023,10,24,1
2024-08-10 17:08:35.462908,20240810,2024,8,10,5
2024-08-27 16:03:35.462915,20240827,2024,8,27,1
2024-08-31 02:38:35.462922,20240831,2024,8,31,5
2023-11-12 13:30:35.462928,20231112,2023,11,12,6
2024-07-13 09:02:35.462935,20240713,2024,7,13,5
2024-03-23 06:20:35.462942,20240323,2024,3,23,5
2024-01-04 22:23:35.462948,20240104,2024,1,4,3
2023-11-05 23:33:35.462955,20231105,2023,11,5,6
2024-02-29 06:41:35.462962,20240229,2024,2,29,3
2024-01-16 01:48:35.462969,20240116,2024,1,16,1
2024-01-19 11:10:35.462976,20240119,2024,1,19,4
2024-05-18 17:16:35.462983,20240518,2024,5,18,5
2024-04-13 22:57:35.462989,20240413,2024,4,13,5
2024-03-22 18:11:35.462995,20240322,2024,3,22,4
2024-07-15 09:41:35.463002,20240715,2024,7,15,0
2024-10-10 00:28:35.463008,20241010,2024,10,10,3
2024-09-22 11:17:35.463015,20240922,2024,9,22,6
2024-08-18 22:07:35.463021,20240818,2024,8,18,6
2024-06-23 23:24:35.463041,20240623,2024,6,23,6
2024-06-12 01:15:35.463048,20240612,2024,6,12,2
2024-07-24 17:19:35.463054,20240724,2024,7,24,2
2024-07-04 01:22:35.463059,20240704,2024,7,4,3
2024-07-22 16:26:35.463064,20240722,2024,7,22,0
2024-06-08 20:00:35.463071,20240608,2024,6,8,5
2024-05-17 08:14:35.463077,20240517,2024,5,17,4
2024-07-28 09:38:35.463082,20240728,2024,7,28,6
2024-04-09 19:33:35.463088,20240409,2024,4,9,1
2024-05-27 02:09:35.463094,20240527,2024,5,27,0
2024-08-09 09:02:35.463100,20240809,2024,8,9,4
2023-12-09 18:12:35.463118,20231209,2023,12,9,5
2024-02-19 21:10:35.463122,20240219,2024,2,19,0
2024-08-07 00:51:35.463125,20240807,2024,8,7,2
2024-03-13 02:20:35.463131,20240313,2024,3,13,2
2024-03-26 23:08:35.463136,20240326,2024,3,26,1
2024-06-14 14:43:35.463142,20240614,2024,6,14,4
2024-07-21 19:23:35.463147,20240721,2024,7,21,6
2024-05-22 16:45:35.463153,20240522,2024,5,22,2
2024-09-25 13:03:35.463158,20240925,2024,9,25,2
2024-09-07 13:05:35.463164,20240907,2024,9,7,5
2024-05-02 10:03:35.463171,20240502,2024,5,2,3
2023-11-02 06:58:35.463175,20231102,2023,11,2,3
2024-01-17 02:02:35.463179,20240117,2024,1,17,2
2024-10-15 23:29:35.463182,20241015,2024,10,15,1
2023-12-12 05:00:35.463186,20231212,2023,12,12,1
2024-10-03 12:01:35.463189,20241003,2024,10,3,3
2024-02-28 19:04:35.463192,20240228,2024,2,28,2
2023-11-27 15:19:35.463196,20231127,2023,11,27,0
2024-08-02 04:48:35.463200,20240802,2024,8,2,4
