TransactionID,DateKey,MerchantKey,LocationKey,TransactionTypeKey,Amount,IsFraud
1,20240403,688,MUMBAI,purchase,345614.78,0
2,20240319,109,DELHI,purchase,219426.08,0
3,20240108,394,BENGALURU,refund,64680.0,0
4,20240413,944,HYDERABAD,purchase,289938.0,0
5,20240712,475,KOLKATA,refund,30448.28,0
6,20240830,302,BENGALURU,purchase,254613.15,0
7,20240102,902,HYDERABAD,purchase,121019.25,0
8,20240512,266,BENGALURU,refund,75669.82,0
9,20231116,32,PUNE,purchase,134122.72,0
10,20231024,193,DELHI,refund,54620.78,0
11,20240810,349,MUMBAI,purchase,321415.05,1
12,20240827,359,JAIPUR,refund,77957.55,0
13,20240831,219,BENGALURU,purchase,235594.42,0
14,20231112,617,JAIPUR,purchase,355890.15,0
15,20240713,529,HYDERABAD,transfer,379422.45,1
16,20240323,462,SURAT,purchase,125734.12,0
17,20240104,912,BENGALURU,purchase,224560.87,0
18,20231105,522,BENGALURU,purchase,112015.2,0
19,20240229,456,DELHI,transfer,389895.82,1
20,20240116,134,AHMEDABAD,purchase,149733.38,0
21,20240119,51,JAIPUR,refund,22258.5,0
22,20240518,196,HYDERABAD,refund,42248.25,0
23,20240413,813,PUNE,purchase,241942.8,0
24,20240322,878,HYDERABAD,refund,97111.58,0
25,20240715,521,DELHI,purchase,302093.55,0
26,20241010,348,MUMBAI,purchase,302358.38,0
27,20240922,725,BENGALURU,purchase,345379.65,1
28,20240818,44,AHMEDABAD,purchase,127237.28,0
29,20240623,605,PUNE,cash_out,359761.05,0
30,20240612,347,SURAT,refund,71166.15,0
31,20240724,595,PUNE,refund,87675.22,0
32,20240704,163,JAIPUR,cash_out,343416.98,0
33,20240722,781,MUMBAI,purchase,283762.05,0
34,20240608,510,KOLKATA,purchase,326181.9,0
35,20240517,469,SURAT,refund,42581.55,0
36,20240728,322,KOLKATA,refund,88221.37,0
37,20240409,991,HYDERABAD,purchase,161007.82,0
38,20240527,369,JAIPUR,purchase,172008.37,0
39,20240809,663,AHMEDABAD,purchase,264333.3,0
40,20231209,284,HYDERABAD,refund,4825.42,0
41,20240219,788,SURAT,purchase,286515.08,0
42,20240807,207,CHENNAI,purchase,122763.3,0
43,20240313,661,DELHI,refund,63867.38,0
44,20240326,31,AHMEDABAD,purchase,193608.52,0
45,20240614,4,CHENNAI,refund,50887.65,0
46,20240721,980,AHMEDABAD,purchase,169356.0,0
47,20240522,251,PUNE,transfer,398729.1,0
48,20240925,334,SURAT,transfer,383799.9,0
49,20240907,978,KOLKATA,purchase,205140.38,0
50,20240502,639,HYDERABAD,purchase,327402.08,0
51,20231102,620,PUNE,refund,2418.9,0
52,20240117,57,PUNE,refund,67435.5,0
53,20241015,456,JAIPUR,purchase,148589.1,0
54,20231212,970,MUMBAI,refund,61105.27,0
55,20241003,430,BENGALURU,purchase,222795.38,0
56,20240228,437,AHMEDABAD,refund,72205.65,0
57,20231127,685,SURAT,purchase,249301.8,0
58,20240802,274,HYDERABAD,purchase,293601.0,0
59,20231227,12,PUNE,refund,36535.12,0
60,20240813,277,DELHI,purchase,316519.5,1
